"","plotID","plotNum","domainID","siteID","decimalLatitude","decimalLongitude","Original_SpRich","rangefilt_95_SpRich","FEve","FDiv","original_FRic","SES.FRic","FRic.p","original_PD","SES.PD","PD.p","original_MPD","SES.MPD","MPD.p","nlcdClass","elevation","temp.range_CHELSA","temp.ave_CHELSA","precip.annual_CHELSA","temp.range_daymet","temp.ave_daymet","precip.total_daymet","Vert.Variance","Vert.Shannon","Vert.Simpson","Vert.Mean","volume_und","volume_mid","volume_subcan","volume_can","clumpy_und","clumpy_mid","clumpy_subcan","clumpy_can","te_und","te_mid","te_subcan","te_can","np_und","np_mid","np_subcan","np_can","Total_veg_amt_NEW","shannon_plot","simpson_plot","variance_plot","range_abs","dist_traveled","clumpy_TotVol","np_TotVol","te_TotVol","PC1","PC2","PC3","PC4","VegRating"
"1","ABBY_002",1,"D16","ABBY",45.739055,-122.309112,6,11,0.600278167825072,0.723814999792418,0.00719760007584426,-0.00845800843848008,0.46039603960396,434.79547311498,0.230288750243297,0.504950495049505,96.3938211423826,-0.1331422047583,0.425742574257426,"grasslandHerbaceous",638.4,26.8,3.65,2748.8,11.731847826087,14.6142934782609,328.19,251.7083957,12.25393592,0.999994856,10.24338561,54230,17281,11604,137963,0.2741863,0.7640128,0.6314462,0.9715065,82993,4785,7542,2991,8460,379,433,16,221078,3.40783655572428,0.944726144872454,6.8030385946188,16.7063208460362,26.6706773175078,0.5772926,7391,68890,-0.0789759305732273,-0.0801400619731381,0.0065423066058496,0.0307812701541329,"Canopy"
"2","ABBY_003",2,"D16","ABBY",45.762016,-122.371092,11,15,0.576049214900186,0.774425289594351,0.0129934061146364,0.562449378004853,0.856435643564356,621.438406859993,1.39122094867038,0.95049504950495,120.021688083827,2.27456864974489,0.99009900990099,"evergreenForest",602.4,26.9,3.55,2582.7,11.6289130434783,14.8865217391304,287.66,92.63614555,12.98216618,0.999996959,7.021821818,289528,155164,60819,65279,0.5808764,0.6978376,0.8334293,0.9153638,82857,49258,11610,4107,1954,2206,123,42,570790,3.13130199350261,0.933137463567928,9.7934474678168,10.1399814292472,22.5715236777098,0.6925675,1100,49619,-0.184677009242881,0.00598008938973849,0.0116904406967296,0.00929082824785456,"Canopy"
"3","ABBY_005",3,"D16","ABBY",45.770977,-122.389412,14,18,0.552150548546027,0.772808778844549,0.0128871466942914,0.0686501792774798,0.707920792079208,681.568139403734,1.2659025177931,0.891089108910891,104.698691192069,0.739587158248547,0.762376237623762,"shrubScrub",472.3,27,3.95,2474.6,12.3673913043478,15.5583695652174,241.74,55.77120494,12.61706568,0.999995679,4.920864123,166226,132370,44466,17102,0.4347155,0.8523944,0.8571932,0.8919484,104206,17788,6222,1698,4576,338,148,38,360164,3.03136022190271,0.92313959823671,11.7608830204134,12.6992148021457,21.2278295443187,0.5739596,3911,84297,-0.336942796196918,-0.00192098753961105,-0.00671264587687967,-0.024648943934791,"Canopy"
"4","ABBY_007",4,"D16","ABBY",45.768936,-122.361007,9,13,0.601323945601029,0.810058147838899,0.0137305005778388,1.09895237632678,0.945544554455445,550.695218429682,1.31407265629795,0.910891089108911,102.833799436998,0.483958834792879,0.663366336633663,"evergreenForest",444.5,27,4.05,2591.3,12.0694565217391,15.2928804347826,279.35,321.0635628,13.33057191,0.999998287,18.29263852,70751,30719,78070,380806,0.400652,0.6494167,0.7267089,0.9397019,76329,15551,23448,10146,5455,923,783,48,560346,3.72030288980208,0.970447848028691,2.14433791467619,7.54872882112123,14.9919870936885,0.778508,3911,42985,-0.297074125472013,0.0899750010527034,0.0459933439774396,0.151459062875589,"Canopy"
"5","ABBY_008",5,"D16","ABBY",45.771358,-122.355223,8,13,0.600161553815545,0.794084652182737,0.025025443607841,2.77034605240995,0.975247524752475,398.989646094773,-1.36073576775481,0.099009900990099,77.3183461757272,-1.77811469000448,0.0396039603960396,"evergreenForest",352.6,27.2,4.45,2582.2,12.9578260869565,16.0861956521739,257.2,288.1742597,13.58679984,0.999998685,21.73855052,83222,35000,95772,514774,0.40321,0.5866439,0.6611068,0.9077131,86509,23983,40255,18719,5405,1607,1253,49,728768,3.64590016859909,0.968914568329066,2.41813786103777,6.14969372969175,15.372793536489,0.8110771,2749,37239,-0.310074255108237,0.0671359174552607,-0.0112386098639864,0.0929104306503037,"Canopy"
"6","ABBY_009",6,"D16","ABBY",45.76561,-122.299532,11,15,0.590839437828919,0.742713130501238,0.00571205072820758,-0.867290901508271,0.212871287128713,574.120515669027,0.73494910245599,0.762376237623762,104.644061421795,0.649482260140059,0.732673267326733,"shrubScrub",538.6,27,3.75,2751,11.7189130434783,14.7591304347826,328.59,152.7846886,13.21316903,0.999998004,12.65331878,70497,128846,164544,162336,0.3962541,0.7753675,0.7874466,0.8833534,77619,29335,31235,12868,5882,819,430,126,526223,3.60819781149147,0.969937654838245,2.01128789509346,6.04954952386925,14.8798698645626,0.7715327,4025,45604,-0.224517515537774,0.00853132192919166,0.0214085370865469,0.0685416351444297,"Canopy"
"7","ABBY_010",7,"D16","ABBY",45.776549,-122.375934,4,7,0.62107723309315,0.755750930734472,0.00245185110780182,-0.424612444346048,0.48019801980198,287.711297355734,0.0105273381550724,0.465346534653465,97.1618353534934,0.175884823292872,0.495049504950495,"evergreenForest",552.6,27,3.85,2541.3,11.9814130434783,15.2354891304348,279.27,131.4806376,13.89303103,0.999999027,19.55157249,76611,139724,324763,444936,0.4160898,0.674771,0.6852073,0.8397481,80106,47806,62681,32066,5273,2406,922,194,986034,3.51423355001537,0.965287695249452,3.04699619658577,3.55971497940233,13.3017725555103,0.8899534,491,9843,-0.42135531927072,0.18789227076966,0.0131423595640354,0.30667051187229,"Canopy"
"8","ABBY_011",8,"D16","ABBY",45.743361,-122.358994,9,14,0.570660740010813,0.768542594746025,0.0126917182839772,0.547382317034302,0.826732673267327,491.816070858795,-0.28546207208578,0.376237623762376,95.3812962384167,-0.373216920136012,0.376237623762376,"grasslandHerbaceous",497,26.9,3.85,2590.9,12.3638043478261,15.5225543478261,260.42,232.837986,13.11419974,0.999997788,14.04441369,127755,52665,108562,235615,0.4864085,0.631801,0.7755361,0.9023425,88588,28352,26427,12795,4225,1477,470,116,524597,3.67442985886015,0.965795783255355,2.97219525227317,9.06676934866192,17.1556451904986,0.7247335,2755,54966,-0.236942565312855,0.0344526086116323,-0.00454498017054368,0.077055210529936,"Canopy"
"9","ABBY_012",9,"D16","ABBY",45.754263,-122.384239,9,14,0.572642095569809,0.727645660304856,0.0151715921207295,0.910029127103342,0.886138613861386,502.533029731476,-0.202750811558635,0.504950495049505,95.7697294474205,-0.412718759767794,0.356435643564356,"shrubScrub",439,27.1,4.35,2431,12.1789130434783,15.3882608695652,251.34,273.135385,13.79102383,0.999998897,22.10170945,120464,158613,103539,554524,0.4583249,0.7353555,0.6717212,0.9269985,90037,38971,38793,13608,4739,1478,1431,28,937140,3.80519038416339,0.974813728197603,1.42019297586629,4.40553172418209,12.3476748404721,0.8110977,2374,32025,-0.132805077675489,-0.0400220142561916,0.0351789654394479,0.0303813418091276,"Canopy"
"10","ABBY_013",10,"D16","ABBY",45.745332,-122.372807,8,13,0.5844183731153,0.739602560438102,0.00520807409792907,-0.817952186650873,0.262376237623762,500.089774516803,0.448404701273912,0.702970297029703,96.5012289477752,0.00599700563679824,0.475247524752475,"grasslandHerbaceous",632.6,26.9,3.55,2564.4,11.5367391304348,14.7473913043478,286.8,133.6538768,12.85886196,0.9999969,9.029642718,132563,132585,71864,102959,0.5362266,0.791911,0.8153099,0.9093199,73812,25867,13507,6662,4614,558,116,50,439971,3.44656801007029,0.958597367709936,4.37644658653848,7.50231265242482,19.3969602541986,0.7563065,3874,47875,-0.112355110485345,-0.0365040009957217,-0.00776218777516604,0.062527382927166,"Canopy"
"11","ABBY_014",11,"D16","ABBY",45.751186,-122.317373,6,10,0.607654465070038,0.747179474299908,0.00956172886987475,0.54028170480688,0.658415841584158,421.630799555214,0.478054818877283,0.693069306930693,108.142323933444,0.751658947366249,0.792079207920792,"evergreenForest",466,27,4.15,2649.1,12.5195652173913,15.6229347826087,280.35,262.0986517,13.71179239,0.999998848,24.96066578,97243,37307,62109,651788,0.4240528,0.5382553,0.5231315,0.9339187,93764,29796,45705,12700,4015,2434,3028,47,848447,3.5387328363044,0.964315190158454,3.24139399716424,4.73688987055173,16.8882676230808,0.9073775,1056,15748,-0.134925361526738,0.00468071614350442,-0.0197626864808906,0.0258032727314009,"Canopy"
"12","ABBY_015",12,"D16","ABBY",45.732278,-122.300351,7,9,0.611095961016442,0.718426290407953,0.00158365102583121,-1.09745057799662,0.0841584158415842,387.762516773215,0.614766988236011,0.663366336633663,103.148795649969,0.513004288640572,0.653465346534653,"shrubScrub",702.7,26.7,3.15,2814.5,12.0873913043478,15.0153260869565,318.26,97.04273478,12.25138862,0.99999457,5.762120557,77171,40122,70718,42966,0.2924485,0.758503,0.8629904,0.8535501,102772,9973,7760,5184,6880,251,60,95,230977,3.1526959137118,0.909422509407628,15.7791204337439,24.9830069660616,31.6204643752408,0.4515116,6278,92807,-0.0826335743091302,-0.0762797914912222,0.010299451094015,0.0876056872980779,"Canopy"
"13","ABBY_016",13,"D16","ABBY",45.746995,-122.332415,8,11,0.603045529993275,0.850170586125668,0.01297204191774,1.43773526696788,0.945544554455445,367.05238635405,-0.622495926428638,0.247524752475248,83.2549668104158,-0.871074447035964,0.198019801980198,"evergreenForest",379.8,27,4.15,2658.7,12.5614130434783,15.6891847826087,269.14,269.0426649,13.69445014,0.999998793,20.57371264,214140,57070,109207,557459,0.4378643,0.5396302,0.6255579,0.90898,110688,43756,50779,18694,2148,2847,1413,48,937876,3.61090526382887,0.9657049759135,2.98392701938559,7.79314109754381,18.54690812005,0.6510078,693,48333,-0.513353147453751,0.104018797877277,0.0333574535489059,0.133309895356488,"Canopy"
